"probe_id"	"symbol"
"1"	"10344614"	"---"
"2"	"10344616"	"Gm26206"
"3"	"10344620"	"---"
"4"	"10344622"	"Gm6123"
"5"	"10344624"	"Lypla1"
"13"	"10344633"	"Tcea1"
"16"	"10344637"	"Atp6v1h"
"31"	"10344653"	"Oprk1"
"35"	"10344658"	"Rb1cc1"
"50"	"10344674"	"Fam150a"
"54"	"10344679"	"St18"
"79"	"10344707"	"Pcmtd1"
"84"	"10344713"	"Gm9826"
"85"	"10344715"	"Gm30414"
"86"	"10344717"	"Gm24276"
"87"	"10344719"	"Gm7445"
"88"	"10344721"	"Gm24765"
"89"	"10344723"	"Rrs1"
"90"	"10344725"	"Adhfe1"
"105"	"10344741"	"Gm6161"
"106"	"10344743"	"3110035E14Rik"
"112"	"10344750"	"Sgk3"
"133"	"10344772"	"Mcmdc2"
"149"	"10344789"	"Cspp1"
"156"	"10344797"	"Cspp1"
"157"	"10344799"	"Cspp1"
"158"	"10344801"	"Cspp1"
"159"	"10344803"	"Cspp1"
"160"	"10344805"	"Cspp1"
"161"	"10344807"	"Cspp1"
"162"	"10344809"	"Cspp1"
"163"	"10344811"	"Cspp1"
"164"	"10344813"	"Cspp1"
"165"	"10344815"	"Cspp1"
"166"	"10344817"	"Cspp1"
"167"	"10344819"	"Cspp1"
"168"	"10344821"	"Cspp1"
"181"	"10344835"	"Gm28659"
"182"	"10344837"	"Prex2"
"222"	"10344879"	"A830018L16Rik"
"237"	"10344895"	"Gm7560"
"238"	"10344897"	"Sulf1"
"262"	"10344922"	"Gm5250"
"263"	"10344924"	"Xkr9"
"267"	"10344929"	"---"
"268"	"10344931"	"Rpl5-ps1"
"269"	"10344935"	"Kcnb2"
"272"	"10344939"	"Terf1"
"282"	"10344950"	"Gm7634"
"283"	"10344952"	"Rdh10"
"290"	"10344960"	"Tmem70"
"295"	"10344966"	"Ly96"
"301"	"10344973"	"Gdap1"
"308"	"10344981"	"Pi15"
"316"	"10344990"	"Crispld1"
"332"	"10345007"	"Tfap2d"
"340"	"10345016"	"Tfap2b"
"348"	"10345025"	"Gm4849"
"350"	"10345028"	"---"
"351"	"10345030"	"---"
"352"	"10345032"	"Il17a"
"356"	"10345037"	"Paqr8"
"364"	"10345046"	"Efhc1"
"375"	"10345058"	"Tmem14a"
"381"	"10345065"	"Gsta3"
"389"	"10345074"	"---"
"391"	"10345077"	"Khdc1a"
"392"	"10345079"	"Khdc1c"
"395"	"10345083"	"Khdc1b"
"398"	"10345087"	"Mir30a"
"399"	"10345089"	"---"
"400"	"10345091"	"B3gat2"
"407"	"10345101"	"Col9a1"
"446"	"10345141"	"---"
"471"	"10345167"	"Gm9443"
"475"	"10345174"	"Gm19028"
"481"	"10345181"	"Gm6462"
"482"	"10345183"	"Gm6473"
"488"	"10345190"	"Lgsn"
"494"	"10345197"	"Pih1d3"
"496"	"10345200"	"Gm28645"
"498"	"10345203"	"Gm19680"
"500"	"10345206"	"Gm7910"
"505"	"10345212"	"Khdrbs2"
"516"	"10345224"	"Gm25792"
"517"	"10345226"	"Gm23453"
"518"	"10345228"	"1700001G17Rik"
"519"	"10345230"	"Rab23"
