Geneid	Geneid	19_4_WT_SN_1_	20_4_WT_SN_1_	26_4_WT_SN_1_	18_4_SN_1_	19_4_WT_ON_	20_4_WT_ON_	18_4_ON_	26_4_WT_ON_	SPF_8w_F_2	SPF_8w_F_5	SPF_8w_F_4	SPF_8w_F_3	SPF_8w_F_1
ERCC-00002	ERCC-00002	0	0	1	0	0	0	0	1	0	1	1	0	0
ERCC-00003	ERCC-00003	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00004	ERCC-00004	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00009	ERCC-00009	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00012	ERCC-00012	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00013	ERCC-00013	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00014	ERCC-00014	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00016	ERCC-00016	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00017	ERCC-00017	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00019	ERCC-00019	0	0	0	0	0	0	0	0	0	1	1	1	0
ERCC-00022	ERCC-00022	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00024	ERCC-00024	1	1	0	0	1	0	0	0	1	0	0	1	1
ERCC-00025	ERCC-00025	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00028	ERCC-00028	0	0	0	0	0	0	0	0	1	0	0	0	0
ERCC-00031	ERCC-00031	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00033	ERCC-00033	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00034	ERCC-00034	0	0	0	0	0	0	0	0	1	0	0	0	0
ERCC-00035	ERCC-00035	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00039	ERCC-00039	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00040	ERCC-00040	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00041	ERCC-00041	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00042	ERCC-00042	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00043	ERCC-00043	0	0	0	0	0	0	0	0	0	1	0	0	0
ERCC-00044	ERCC-00044	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00046	ERCC-00046	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00048	ERCC-00048	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00051	ERCC-00051	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00053	ERCC-00053	1	0	0	0	0	0	1	0	1	0	0	0	0
ERCC-00054	ERCC-00054	1	1	0	2	1	1	0	0	5	0	0	3	2
ERCC-00057	ERCC-00057	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00058	ERCC-00058	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00059	ERCC-00059	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00060	ERCC-00060	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00061	ERCC-00061	0	0	0	0	0	0	0	0	1	1	0	0	1
ERCC-00062	ERCC-00062	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00067	ERCC-00067	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00069	ERCC-00069	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00071	ERCC-00071	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00073	ERCC-00073	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00074	ERCC-00074	0	0	0	0	0	0	1	1	1	0	0	0	0
ERCC-00075	ERCC-00075	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00076	ERCC-00076	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00077	ERCC-00077	0	0	0	0	0	0	0	0	0	0	0	1	0
ERCC-00078	ERCC-00078	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00079	ERCC-00079	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00081	ERCC-00081	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00083	ERCC-00083	0	0	0	0	0	0	0	0	1	0	0	0	0
ERCC-00084	ERCC-00084	1	1	1	0	1	0	0	0	2	1	1	0	0
ERCC-00085	ERCC-00085	0	0	0	2	0	1	0	0	3	0	0	1	0
ERCC-00086	ERCC-00086	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00092	ERCC-00092	0	0	0	0	0	0	0	0	1	0	0	0	0
ERCC-00095	ERCC-00095	0	0	0	0	0	0	0	0	0	0	0	0	1
ERCC-00096	ERCC-00096	0	0	0	0	0	0	1	0	0	0	0	0	0
ERCC-00097	ERCC-00097	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00098	ERCC-00098	0	1	0	0	1	0	0	0	1	0	0	0	0
ERCC-00099	ERCC-00099	0	0	0	0	0	1	0	0	0	0	0	0	0
ERCC-00104	ERCC-00104	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00108	ERCC-00108	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00109	ERCC-00109	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00111	ERCC-00111	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00112	ERCC-00112	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00113	ERCC-00113	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00116	ERCC-00116	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00117	ERCC-00117	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00120	ERCC-00120	0	0	0	0	0	0	0	0	0	1	0	0	0
ERCC-00123	ERCC-00123	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00126	ERCC-00126	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00130	ERCC-00130	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00131	ERCC-00131	0	0	0	1	0	0	0	0	0	0	0	0	0
ERCC-00134	ERCC-00134	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00136	ERCC-00136	0	0	0	1	0	0	0	0	0	0	0	0	2
ERCC-00137	ERCC-00137	0	0	0	0	1	0	0	0	0	1	0	0	0
ERCC-00138	ERCC-00138	2	1	1	3	3	4	1	0	4	0	1	3	2
ERCC-00142	ERCC-00142	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00143	ERCC-00143	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00144	ERCC-00144	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00145	ERCC-00145	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00147	ERCC-00147	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00148	ERCC-00148	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00150	ERCC-00150	0	0	0	0	0	0	0	0	0	0	1	0	0
ERCC-00154	ERCC-00154	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00156	ERCC-00156	0	0	0	0	0	0	0	0	1	0	0	0	0
ERCC-00157	ERCC-00157	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00158	ERCC-00158	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00160	ERCC-00160	0	0	0	0	0	0	0	0	1	0	0	0	0
ERCC-00162	ERCC-00162	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00163	ERCC-00163	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00164	ERCC-00164	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00165	ERCC-00165	0	0	0	0	0	0	0	0	0	0	0	0	0
