"Gene"	"SN_1"	"SN_2"	"SN_3"	"SN_4"	"ON_1"	"ON_2"	"ON_3"	"ON_4"	"SPF_1"	"SPF_2"	"SPF_3"	"SPF_4"	"SPF_5"
"4933401J01Rik"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gm26206"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Xkr4"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gm18956"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gm37180"	0	0	0	0	2	20	20	39	0	13	6	0	3
"Gm37363"	0	0	0	0	0	0	0	1	0	10	0	0	0
"Gm37686"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gm1992"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gm37329"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gm7341"	2	0	1	0	0	0	1	0	0	1	0	1	1
"Gm38148"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gm19938"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gm10568"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gm38385"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gm27396"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gm37381"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rp1"	0	0	0	13	0	0	0	0	16	21	12	18	13
"Gm6101"	0	0	0	1	0	0	1	0	0	0	0	0	0
"Gm37483"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sox17"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gm37587"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gm7357"	0	0	1	1	0	0	0	0	2	0	0	0	1
"Gm22307"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gm38076"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gm37323"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gm7369"	1	0	0	1	0	0	0	0	0	0	1	1	0
"Gm6085"	5	4	4	6	6	6	2	4	28	3	4	3	6
